68593616,Unnamed: 1,28000.0,28000.0.1,28000.0.2, 60 months,8.49,574.33,B,B1,Client Service Manager,1 year,MORTGAGE,75000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68593616,Unnamed: 19,debt_consolidation,Debt consolidation,301xx,GA,24.83,0.0,Jan-2004,685.0,689.0,0.0.1,29.0,Unnamed: 31,16.0,0.0.2,18002.0,72.0,23.0,w,0.0.3,0.0.4,32339.7724681812,32339.77,28000.0.3,4339.77,0.0.5,0.0.6,0.0.7,Apr-2018,17440.21,Unnamed: 49,Jul-2018,694.0,690.0,0.0.8,Unnamed: 54,1.0,Individual,Unnamed: 57,Unnamed: 58,Unnamed: 59,0.0.9,428.0,365724.0,0.0.10,4.0,1.0.1,1.0.2,10.0,63294.0,74.0,1.0.3,1.0.4,7762.0,74.0.1,25000.0,6.0,1.0.5,6.0.1,3.0,22858.0,1024.0,91.8,0.0.11,0.0.12,143.0,101.0,8.0,8.0.1,3.0.1,27.0,Unnamed: 90,0.0.13,29.0.1,0.0.14,4.0.1,10.0.1,4.0.2,5.0,8.0.2,10.0.2,12.0,10.0.3,16.0.1,0.0.15,0.0.16,0.0.17,2.0,95.7,75.0,0.0.18,0.0.19,406511.0,81296.0,12500.0,85509.0,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,N,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Cash,N.1,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150
68576383,,24000.0,24000.0,24000.0, 60 months,18.49,615.86,D,D5,Managing Consultant,< 1 year,RENT,148500.0,Verified,Dec-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68576383,,debt_consolidation,Debt consolidation,060xx,CT,18.6,0.0,May-1994,665.0,669.0,3.0,61.0,94.0,25.0,1.0,16233.0,40.5,43.0,w,11417.53,11417.53,23365.7,23365.7,12582.47,10783.23,0.0,0.0,0.0,Mar-2019,615.86,Apr-2019,Mar-2019,684.0,680.0,0.0,61.0,1.0,Individual,,,,0.0,0.0,114699.0,4.0,4.0,4.0,5.0,7.0,98466.0,95.0,8.0,12.0,8000.0,61.0,40100.0,13.0,6.0,21.0,17.0,4588.0,6435.0,70.3,0.0,0.0,259.0,121.0,5.0,5.0,0.0,6.0,61.0,0.0,61.0,2.0,5.0,7.0,7.0,11.0,14.0,21.0,28.0,7.0,25.0,0.0,0.0,0.0,12.0,95.3,57.1,1.0,0.0,148795.0,114699.0,21700.0,108695.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68242271,,2000.0,2000.0,2000.0, 36 months,13.44,67.82,C,C3,Nurse,2 years,RENT,55000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68242271,,debt_consolidation,Debt consolidation,606xx,IL,23.43,1.0,Sep-1983,700.0,704.0,0.0,23.0,,6.0,0.0,19968.0,92.9,29.0,w,0.0,0.0,2357.7787463344,2357.78,2000.0,357.78,0.0,0.0,0.0,Oct-2017,1005.11,,Oct-2017,654.0,650.0,0.0,,1.0,Individual,,,,0.0,88.0,89137.0,0.0,2.0,0.0,0.0,40.0,69169.0,98.0,1.0,2.0,10143.0,94.0,21500.0,0.0,0.0,1.0,2.0,17827.0,1532.0,92.9,0.0,0.0,136.0,387.0,11.0,11.0,0.0,11.0,23.0,11.0,23.0,0.0,3.0,3.0,4.0,8.0,19.0,4.0,10.0,3.0,6.0,0.0,0.0,0.0,1.0,96.0,66.7,0.0,0.0,93267.0,89137.0,21500.0,71767.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68565712,,16000.0,16000.0,16000.0, 36 months,11.99,531.36,C,C1,driver,10+ years,MORTGAGE,98000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68565712,,debt_consolidation,Debt consolidation,641xx,MO,23.06,0.0,Nov-2000,670.0,674.0,0.0,,,12.0,0.0,16640.0,80.4,19.0,w,0.0,0.0,19175.3140913924,19175.31,16000.0,3175.31,0.0,0.0,0.0,Feb-2019,10.53,,Mar-2019,629.0,625.0,0.0,,1.0,Individual,,,,0.0,0.0,42270.0,0.0,3.0,1.0,3.0,11.0,25630.0,56.0,1.0,2.0,6360.0,64.0,20700.0,0.0,0.0,1.0,5.0,3843.0,195.0,98.3,0.0,0.0,181.0,65.0,12.0,11.0,0.0,25.0,,8.0,,0.0,4.0,7.0,5.0,6.0,9.0,9.0,10.0,8.0,12.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,66540.0,42270.0,11300.0,45840.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68365891,,3500.0,3500.0,3500.0, 36 months,7.49,108.86,A,A4,SSC,3 years,RENT,32000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68365891,,debt_consolidation,Debt consolidation,932xx,CA,29.95,0.0,Aug-2006,730.0,734.0,0.0,,,9.0,0.0,3265.0,17.8,17.0,w,0.0,0.0,3915.146623381,3915.15,3500.0,415.15,0.0,0.0,0.0,Jan-2019,108.69,,Mar-2019,754.0,750.0,0.0,,1.0,Individual,,,,0.0,0.0,20075.0,0.0,2.0,1.0,3.0,9.0,16810.0,77.0,1.0,2.0,716.0,50.0,18300.0,0.0,6.0,0.0,5.0,2231.0,84.0,89.5,0.0,0.0,106.0,112.0,7.0,7.0,0.0,104.0,,,,0.0,1.0,5.0,1.0,3.0,6.0,7.0,11.0,6.0,9.0,0.0,0.0,0.0,2.0,100.0,100.0,0.0,0.0,40095.0,20075.0,800.0,21795.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68395599,,1500.0,1500.0,1500.0, 36 months,7.91,46.95,A,A5,Professor,10+ years,RENT,72000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68395599,,other,Other,145xx,NY,12.15,0.0,Dec-2000,740.0,744.0,0.0,,,6.0,0.0,200.0,2.9,30.0,w,0.0,0.0,1688.2380942779998,1688.24,1500.0,188.24,0.0,0.0,0.0,Jan-2019,46.64,,Dec-2018,769.0,765.0,0.0,,1.0,Individual,,,,0.0,0.0,878659.0,1.0,2.0,1.0,1.0,11.0,878459.0,58.0,1.0,1.0,0.0,47.0,7000.0,0.0,0.0,1.0,2.0,146443.0,,,0.0,0.0,180.0,130.0,4.0,4.0,1.0,,,2.0,,0.0,0.0,1.0,0.0,1.0,24.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,2.0,100.0,,0.0,0.0,598177.0,878659.0,0.0,591177.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68485429,,12000.0,12000.0,12000.0, 60 months,13.99,279.16,C,C4,Nurse,4 years,MORTGAGE,40000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68485429,,debt_consolidation,Debt consolidation,117xx,NY,31.68,0.0,Nov-2004,705.0,709.0,1.0,,,12.0,0.0,5667.0,61.6,23.0,w,0.0,0.0,13443.7,13443.7,12000.0,1443.7,0.0,0.0,0.0,Nov-2016,10739.49,,Dec-2016,699.0,695.0,0.0,,1.0,Individual,,,,0.0,0.0,137587.0,2.0,6.0,1.0,2.0,8.0,33198.0,72.0,2.0,2.0,2957.0,70.0,9200.0,0.0,0.0,1.0,5.0,11466.0,2533.0,69.1,0.0,0.0,133.0,118.0,4.0,4.0,1.0,4.0,,4.0,,0.0,4.0,4.0,4.0,7.0,10.0,5.0,12.0,4.0,12.0,0.0,0.0,0.0,3.0,100.0,50.0,0.0,0.0,156119.0,38865.0,8200.0,46119.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68595397,,7200.0,7200.0,7200.0, 36 months,9.17,229.53,B,B2,Leasing Specialis,9 years,RENT,65000.0,Source Verified,Dec-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68595397,,debt_consolidation,Debt consolidation,209xx,MD,14.03,0.0,Mar-2010,680.0,684.0,0.0,,50.0,8.0,2.0,5085.0,51.4,10.0,w,0.0,0.0,6417.67,6417.67,5425.4,992.27,0.0,0.0,0.0,May-2018,229.53,,Sep-2018,499.0,0.0,0.0,,1.0,Individual,,,,0.0,0.0,16954.0,0.0,2.0,1.0,1.0,8.0,11869.0,54.0,2.0,3.0,1927.0,53.0,9900.0,0.0,0.0,5.0,4.0,2119.0,4668.0,49.8,0.0,0.0,69.0,41.0,12.0,8.0,0.0,12.0,,9.0,,0.0,5.0,6.0,5.0,5.0,4.0,6.0,6.0,6.0,8.0,0.0,0.0,0.0,3.0,100.0,40.0,0.0,2.0,32080.0,16954.0,9300.0,22180.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68365098,,7700.0,7700.0,7700.0, 36 months,11.48,253.85,B,B5,Administrative Services Manager,5 years,RENT,90000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68365098,,credit_card,Credit card refinancing,916xx,CA,12.02,0.0,Jan-2001,660.0,664.0,2.0,35.0,,7.0,0.0,4611.0,95.9,21.0,w,0.0,0.0,7835.67,7835.67,7700.0,135.67,0.0,0.0,0.0,Mar-2016,7594.1,,Jul-2018,679.0,675.0,0.0,,1.0,Individual,,,,0.0,649.0,32156.0,1.0,3.0,5.0,8.0,5.0,27545.0,70.0,0.0,1.0,1916.0,72.0,4800.0,6.0,1.0,9.0,9.0,4594.0,189.0,95.9,0.0,0.0,142.0,179.0,21.0,5.0,0.0,21.0,35.0,2.0,35.0,1.0,4.0,4.0,4.0,7.0,14.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0,5.0,100.0,100.0,0.0,0.0,44289.0,32156.0,4800.0,39489.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68474602,,16000.0,16000.0,16000.0, 36 months,11.48,527.47,B,B5,Teacher,10+ years,RENT,101000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68474602,,debt_consolidation,Debt consolidation,928xx,CA,26.76,0.0,Sep-1990,740.0,744.0,0.0,,,15.0,0.0,17478.0,52.0,21.0,w,0.0,0.0,18978.460428265,18978.46,16000.0,2978.46,0.0,0.0,0.0,Jan-2019,527.21,,Mar-2019,704.0,700.0,0.0,,1.0,Individual,,,,0.0,0.0,67389.0,0.0,6.0,2.0,3.0,11.0,49911.0,65.0,0.0,2.0,1972.0,61.0,33600.0,0.0,6.0,0.0,5.0,4493.0,3051.0,44.5,0.0,0.0,121.0,303.0,13.0,11.0,0.0,13.0,,,,0.0,2.0,5.0,3.0,4.0,8.0,9.0,13.0,5.0,15.0,0.0,0.0,0.0,2.0,100.0,33.3,0.0,0.0,110584.0,67389.0,5500.0,76984.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68374100,,10000.0,10000.0,10000.0, 36 months,11.99,332.1,C,C1,Senior School Secretary,8 years,MORTGAGE,47000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68374100,,debt_consolidation,Debt consolidation,146xx,NY,17.31,0.0,Oct-2009,675.0,679.0,1.0,,,13.0,0.0,10022.0,33.7,18.0,w,0.0,0.0,11938.7492142669,11938.75,10000.0,1938.75,0.0,0.0,0.0,Jan-2019,331.9,,Mar-2019,564.0,560.0,1.0,,1.0,Individual,,,,0.0,75.0,113563.0,2.0,3.0,1.0,1.0,6.0,11171.0,96.0,1.0,3.0,2936.0,51.0,29700.0,0.0,0.0,1.0,5.0,8736.0,5236.0,49.7,0.0,0.0,74.0,50.0,1.0,1.0,1.0,14.0,,1.0,,0.0,3.0,9.0,3.0,3.0,7.0,9.0,10.0,9.0,13.0,0.0,0.0,0.0,2.0,100.0,33.3,0.0,0.0,136777.0,21193.0,10400.0,11585.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
