id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
68574537,,24000.0,24000.0,24000.0, 36 months,7.49,746.44,A,A4,Deputy District Attorney,4 years,RENT,111000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68574537,,credit_card,Credit card refinancing,921xx,CA,16.42,0.0,Apr-1969,740.0,744.0,1.0,,,19.0,0.0,31034.0,43.6,45.0,w,0.0,0.0,26789.7917361857,26789.79,24000.0,2789.79,0.0,0.0,0.0,Nov-2018,251.83,,Nov-2018,834.0,830.0,0.0,,1.0,Individual,,,,0.0,0.0,124648.0,1.0,5.0,0.0,1.0,13.0,93614.0,71.0,2.0,4.0,5976.0,57.0,71100.0,0.0,0.0,1.0,5.0,6925.0,36242.0,45.7,0.0,0.0,179.0,560.0,3.0,3.0,0.0,3.0,,1.0,,0.0,8.0,10.0,11.0,18.0,20.0,14.0,25.0,11.0,19.0,0.0,0.0,0.0,2.0,100.0,30.0,0.0,0.0,195461.0,124648.0,66800.0,124361.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68515022,,4850.0,4850.0,4850.0, 36 months,11.99,161.07,C,C1,Customer Service,5 years,MORTGAGE,39000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68515022,,debt_consolidation,Debt consolidation,300xx,GA,18.37,0.0,Jan-2003,670.0,674.0,2.0,49.0,,6.0,0.0,12255.0,46.0,15.0,w,0.0,0.0,5790.2780134780005,5790.28,4850.0,940.28,0.0,0.0,0.0,Jan-2019,160.91,,Dec-2018,714.0,710.0,0.0,38.0,1.0,Individual,,,,0.0,0.0,255972.0,1.0,1.0,0.0,0.0,100.0,58987.0,115.0,1.0,1.0,11455.0,46.0,26600.0,0.0,0.0,2.0,2.0,42662.0,16100.0,71.0,0.0,0.0,155.0,113.0,6.0,6.0,3.0,91.0,49.0,0.0,49.0,0.0,1.0,4.0,0.0,2.0,3.0,4.0,9.0,2.0,6.0,,0.0,0.0,2.0,80.0,0.0,0.0,0.0,265743.0,71242.0,16100.0,51291.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68464526,,20800.0,20800.0,20800.0, 60 months,9.8,439.9,B,B3,Conductor,2 years,MORTGAGE,81000.0,Not Verified,Dec-2015,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68464526,,credit_card,Credit card refinancing,380xx,TN,22.73,0.0,Oct-2004,725.0,729.0,0.0,,,10.0,0.0,26331.0,43.0,37.0,w,8457.18,8457.18,17144.78,17144.78,12342.82,4801.96,0.0,0.0,0.0,Mar-2019,439.9,Apr-2019,Mar-2019,749.0,745.0,0.0,,1.0,Individual,,,,0.0,0.0,83553.0,1.0,2.0,5.0,7.0,2.0,57222.0,91.0,0.0,0.0,6325.0,55.0,61200.0,1.0,5.0,2.0,8.0,8355.0,25710.0,26.8,0.0,0.0,134.0,118.0,25.0,2.0,2.0,46.0,,2.0,,0.0,4.0,5.0,5.0,8.0,21.0,8.0,13.0,5.0,10.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,0.0,120534.0,83553.0,35100.0,59334.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68062495,,7850.0,7850.0,7850.0, 36 months,17.27,280.93,D,D3,Parking,< 1 year,RENT,45000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68062495,,debt_consolidation,Debt consolidation,750xx,TX,28.96,0.0,May-2001,660.0,664.0,1.0,33.0,,10.0,0.0,3866.0,85.9,30.0,w,0.0,0.0,10094.6448198968,10094.64,7850.0,2244.64,0.0,0.0,0.0,Jan-2019,280.92,,Dec-2018,684.0,680.0,0.0,33.0,1.0,Individual,,,,0.0,0.0,30743.0,5.0,4.0,3.0,3.0,4.0,26877.0,95.0,3.0,3.0,2173.0,94.0,4500.0,0.0,0.0,4.0,6.0,3416.0,524.0,87.2,0.0,0.0,175.0,163.0,1.0,1.0,0.0,1.0,,2.0,,1.0,4.0,5.0,5.0,7.0,18.0,6.0,12.0,5.0,10.0,0.0,0.0,0.0,6.0,96.3,100.0,0.0,0.0,32660.0,30743.0,4100.0,28160.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68473813,,5000.0,5000.0,5000.0, 36 months,7.91,156.48,A,A5,Project manager,1 year,OWN,60000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68473813,,major_purchase,Major purchase,481xx,MI,6.1,0.0,Feb-2007,690.0,694.0,0.0,,,5.0,0.0,9470.0,66.2,8.0,w,0.0,0.0,5484.4149287645005,5484.41,5000.0,484.41,0.0,0.0,0.0,Aug-2017,2673.26,,Mar-2019,824.0,820.0,0.0,,1.0,Individual,,,,0.0,0.0,9470.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,2806.0,66.0,14300.0,0.0,0.0,0.0,0.0,1894.0,520.0,88.9,0.0,0.0,,106.0,30.0,30.0,0.0,94.0,,,,0.0,2.0,5.0,2.0,3.0,0.0,5.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,14300.0,9470.0,4700.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67878210,,28000.0,28000.0,28000.0, 60 months,22.45,780.52,F,F1,Trainer,10+ years,OWN,65000.0,Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67878210,,debt_consolidation,Debt consolidation,532xx,WI,19.65,0.0,Aug-2001,700.0,704.0,1.0,57.0,,9.0,0.0,11460.0,45.5,17.0,w,0.0,0.0,36064.812909229,36064.81,28000.0,8064.81,0.0,0.0,0.0,May-2017,24391.93,,Apr-2018,714.0,710.0,0.0,57.0,1.0,Individual,,,,0.0,0.0,39746.0,4.0,2.0,1.0,2.0,6.0,28286.0,49.0,4.0,5.0,4496.0,48.0,25200.0,0.0,0.0,2.0,7.0,4416.0,7454.0,59.0,0.0,0.0,104.0,124.0,2.0,2.0,2.0,2.0,,3.0,,1.0,4.0,6.0,4.0,5.0,6.0,7.0,8.0,6.0,9.0,0.0,0.0,0.0,5.0,94.1,25.0,0.0,0.0,82572.0,39746.0,18200.0,57372.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67910185,,10000.0,10000.0,10000.0, 36 months,9.17,318.79,B,B2,PM Analyst ,8 years,RENT,70000.0,Not Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67910185,,credit_card,Credit card refinancing,958xx,CA,13.46,0.0,Apr-2000,660.0,664.0,0.0,,45.0,9.0,2.0,12433.0,85.0,21.0,w,0.0,0.0,11485.8251660929,11485.83,10000.0,1485.83,0.0,0.0,0.0,Jan-2019,329.36,,Mar-2019,674.0,670.0,0.0,45.0,1.0,Individual,,,,0.0,0.0,29227.0,1.0,4.0,0.0,1.0,16.0,16794.0,59.0,2.0,3.0,7868.0,85.0,14700.0,1.0,0.0,1.0,4.0,3247.0,5000.0,89.0,0.0,0.0,188.0,183.0,1.0,1.0,0.0,1.0,,2.0,,0.0,2.0,5.0,4.0,8.0,6.0,5.0,15.0,5.0,9.0,,0.0,0.0,2.0,76.0,50.0,1.0,1.0,43126.0,29227.0,10000.0,28426.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68383505,,2400.0,2400.0,2400.0, 36 months,16.59,85.08,D,D2,Owner,3 years,RENT,14000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68383505,,credit_card,Credit card refinancing,800xx,CO,30.87,0.0,Aug-2007,670.0,674.0,2.0,,,4.0,0.0,3265.0,79.6,7.0,w,0.0,0.0,2915.6351674277003,2915.64,2400.0,515.64,0.0,0.0,0.0,Aug-2017,1101.33,,Aug-2017,564.0,560.0,0.0,,1.0,Individual,,,,0.0,0.0,18464.0,1.0,1.0,1.0,1.0,7.0,15199.0,93.0,1.0,3.0,1963.0,91.0,4100.0,2.0,0.0,7.0,4.0,4616.0,835.0,79.6,0.0,0.0,7.0,100.0,1.0,1.0,0.0,1.0,,0.0,,0.0,3.0,3.0,3.0,4.0,1.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,20380.0,18464.0,4100.0,16280.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
67900158,,20000.0,20000.0,20000.0, 36 months,12.59,669.94,C,C2,Sr Outreach Specialist,10+ years,MORTGAGE,60500.0,Source Verified,Dec-2015,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=67900158,,debt_consolidation,Debt consolidation,544xx,WI,29.7,0.0,May-1999,690.0,694.0,1.0,,,13.0,0.0,22337.0,55.0,25.0,f,0.0,0.0,6996.77,6996.77,3818.89,1505.66,0.0,1672.22,300.9996,Sep-2016,669.94,,Feb-2017,499.0,0.0,0.0,,1.0,Individual,,,,0.0,4500.0,111088.0,0.0,4.0,0.0,1.0,23.0,17247.0,36.0,1.0,1.0,7030.0,45.0,40600.0,0.0,11.0,1.0,2.0,8545.0,15263.0,59.4,0.0,0.0,158.0,199.0,12.0,12.0,1.0,12.0,,0.0,,0.0,5.0,5.0,7.0,9.0,13.0,8.0,11.0,5.0,13.0,0.0,0.0,0.0,1.0,100.0,42.9,0.0,0.0,170905.0,39584.0,37600.0,48205.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
68072121,,7000.0,7000.0,7000.0, 36 months,9.8,225.22,B,B3,Director of Operations,2 years,RENT,60000.0,Source Verified,Dec-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=68072121,,credit_card,Credit card refinancing,750xx,TX,18.0,2.0,Feb-2002,680.0,684.0,0.0,14.0,,14.0,0.0,7001.0,87.5,23.0,w,0.0,0.0,8098.122951563,8098.12,7000.0,1098.12,0.0,0.0,0.0,Dec-2018,224.95,,Mar-2019,719.0,715.0,0.0,,1.0,Individual,,,,0.0,0.0,206515.0,0.0,11.0,1.0,1.0,7.0,199514.0,99.0,0.0,0.0,4625.0,99.0,8000.0,1.0,1.0,1.0,1.0,15886.0,999.0,87.5,0.0,0.0,166.0,115.0,37.0,7.0,0.0,37.0,,7.0,,0.0,2.0,2.0,3.0,3.0,20.0,3.0,3.0,2.0,14.0,0.0,0.0,0.0,1.0,88.2,100.0,0.0,0.0,209471.0,206515.0,8000.0,201471.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
