Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
10000.0,2007-11-19,littlebit0118,561.0,22.33%,275xx,NC,10+ years,0.0
20000.0,2007-12-29,other,635.0,51.58%,453xx,OH,10+ years,0.0
10000.0,2008-01-14,debt loan,646.0,1.66%,125xx,NY,4 years,0.0
25000.0,2008-04-06,,643.0,17.33%,681xx,NE,1 year,0.0
3000.0,2008-08-27,FreshStartPleaseHelp,463.0,1.3%,935xx,CA,2 years,0.0
5000.0,2008-10-29,Insurance Marketing for Medicare,559.0,4.98%,932xx,CA,4 years,0.0
2500.0,2009-01-16,bILL pAYMENT,470.0,1.41%,461xx,IL,3 years,0.0
5000.0,2009-03-10,Please help me finish school,565.0,46.87%,850xx,AZ,< 1 year,0.0
25000.0,2009-03-25,Small Business Capital ,644.0,14.4%,606xx,IL,2 years,0.0
5000.0,2009-04-09,Pay off Debt with National City,605.0,22.85%,437xx,OH,9 years,0.0
20000.0,2009-04-17,Loan For Nursing,,-1%,300xx,GA,3 years,0.0
5000.0,2009-05-04,Cosolidate,536.0,120.15%,488xx,MI,10+ years,0.0
12000.0,2009-07-01,Loan for college,639.0,50%,489xx,MI,< 1 year,0.0
10000.0,2009-08-20,Sincere,629.0,26.86%,193xx,PA,10+ years,0.0
2000.0,2009-09-19,Bill Payments,674.0,15.17%,088xx,NJ,3 years,0.0
10000.0,2009-11-26,small_business,525.0,39.86%,115xx,NY,< 1 year,0.0
10000.0,2009-11-30,debt_consolidation,547.0,4.73%,706xx,LA,8 years,0.0
10000.0,2010-03-11,car,592.0,6.91%,900xx,CA,,0.0
25000.0,2010-06-05,debt_consolidation,757.0,12.3%,856xx,AZ,< 1 year,0.0
3000.0,2010-06-10,other,547.0,17.8%,435xx,OH,10+ years,0.0
1500.0,2010-07-09,medical,649.0,6.33%,402xx,KY,< 1 year,0.0
10000.0,2010-07-29,debt_consolidation,446.0,23.86%,142xx,NY,< 1 year,0.0
20000.0,2010-08-14,debt_consolidation,692.0,36.24%,117xx,NY,< 1 year,0.0
5000.0,2010-09-04,car,,-1%,775xx,TX,< 1 year,0.0
5000.0,2010-10-04,debt_consolidation,620.0,44.25%,415xx,KY,< 1 year,0.0
1000.0,2010-10-26,major_purchase,674.0,41.12%,750xx,TX,< 1 year,0.0
16000.0,2010-11-17,co-op apartment,701.0,13.82%,116xx,NY,9 years,0.0
10000.0,2010-11-17,renewable_energy,525.0,0.51%,922xx,CA,< 1 year,0.0
8000.0,2011-01-05,other,631.0,12.81%,770xx,TX,6 years,0.0
9000.0,2011-01-08,car,648.0,12.48%,603xx,IL,< 1 year,0.0
6000.0,2011-02-17,major_purchase,615.0,32.7%,781xx,TX,< 1 year,0.0
11000.0,2011-02-22,debt_consolidation,503.0,19.23%,364xx,AL,< 1 year,0.0
8000.0,2011-03-08,other,677.0,102.2%,785xx,TX,2 years,0.0
10000.0,2011-03-30,credit_card,622.0,43.28%,605xx,IL,< 1 year,0.0
20000.0,2011-04-05,car,671.0,9.91%,992xx,WA,< 1 year,0.0
8000.0,2011-04-19,car,773.0,34.2%,625xx,IL,< 1 year,0.0
14000.0,2011-05-02,home_improvement,749.0,18.95%,117xx,NY,< 1 year,0.0
3000.0,2011-05-25,home_improvement,512.0,30.19%,165xx,PA,< 1 year,0.0
6000.0,2011-06-21,debt_consolidation,501.0,36.1%,410xx,KY,< 1 year,0.0
4000.0,2011-07-09,debt_consolidation,659.0,5.16%,850xx,AZ,< 1 year,0.0
3500.0,2011-08-06,other,514.0,27.64%,337xx,FL,< 1 year,0.0
4500.0,2011-08-22,car,0.0,0%,188xx,PA,< 1 year,0.0
35000.0,2011-09-12,debt_consolidation,711.0,30.24%,660xx,KS,< 1 year,0.0
20000.0,2011-10-03,credit_card,656.0,31.17%,782xx,TX,< 1 year,0.0
24000.0,2011-10-04,Chase and citi,709.0,23.81%,331xx,FL,1 year,0.0
7500.0,2011-10-20,debt_consolidation,654.0,12.39%,933xx,CA,< 1 year,0.0
2000.0,2011-10-27,other,566.0,22.02%,488xx,MI,< 1 year,0.0
34000.0,2011-10-29,car,668.0,17.13%,248xx,WV,3 years,0.0
12000.0,2011-10-29,debt_consolidation,559.0,40.15%,853xx,AZ,< 1 year,0.0
15000.0,2011-10-31,VACATION,786.0,0.83%,086xx,NJ,10+ years,0.0
8900.0,2011-12-10,debt_consolidation,761.0,16.92%,240xx,VA,< 1 year,0.0
1000.0,2011-12-10,renewable_energy,512.0,40.44%,425xx,KY,< 1 year,0.0
5000.0,2012-01-03,debt_consolidation,559.0,12.71%,065xx,CT,< 1 year,0.0
10000.0,2012-01-07,debt_consolidation,700.0,27.77%,327xx,FL,< 1 year,0.0
35000.0,2012-01-13,home_improvement,658.0,13.94%,441xx,OH,< 1 year,0.0
35000.0,2012-01-14,debt_consolidation,696.0,35.85%,553xx,MN,< 1 year,0.0
2000.0,2012-01-29,vacation,0.0,0%,334xx,FL,< 1 year,0.0
18000.0,2012-02-02,toyotaloan,673.0,19.98%,943xx,CA,,0.0
35000.0,2012-02-02,house,605.0,30.67%,070xx,NJ,< 1 year,0.0
10000.0,2012-02-06,debt_consolidation,636.0,14.89%,104xx,NY,< 1 year,0.0
30000.0,2012-02-07,debt_consolidation,659.0,4.07%,900xx,CA,6 years,0.0
25000.0,2012-02-23,credit_card,676.0,38.26%,933xx,CA,< 1 year,0.0
20000.0,2012-03-07,debt_consolidation,674.0,65.25%,283xx,NC,< 1 year,0.0
25000.0,2012-03-08,credit_card,703.0,29.42%,350xx,AL,< 1 year,0.0
4000.0,2012-03-11,home_improvement,633.0,7.39%,112xx,NY,< 1 year,0.0
29600.0,2012-03-26,car,666.0,24.53%,906xx,CA,5 years,0.0
10000.0,2012-04-02,debt_consolidation,458.0,24.59%,223xx,VA,< 1 year,0.0
35000.0,2012-04-16,home_improvement,672.0,8.4%,280xx,NC,< 1 year,0.0
18000.0,2012-04-22,debt_consolidation,669.0,53.98%,328xx,FL,< 1 year,0.0
5000.0,2012-05-03,other,0.0,12.4%,287xx,NC,< 1 year,0.0
17000.0,2012-05-07,major_purchase,705.0,26.54%,750xx,TX,< 1 year,0.0
10000.0,2012-05-08,To finish school,695.0,21.51%,200xx,DC,2 years,0.0
2500.0,2012-05-12,debt_consolidation,634.0,0%,917xx,CA,< 1 year,0.0
30000.0,2012-05-19,debt_consolidation,678.0,25.67%,019xx,MA,< 1 year,0.0
20000.0,2012-05-25,home_improvement,695.0,121.69%,331xx,FL,< 1 year,0.0
21000.0,2012-05-30,debt_consolidation,671.0,17.15%,483xx,MI,< 1 year,0.0
15000.0,2012-05-30,home_improvement,641.0,17.82%,152xx,PA,< 1 year,0.0
35000.0,2012-06-03,other,651.0,10.76%,760xx,TX,< 1 year,0.0
25000.0,2012-06-04,credit_card,664.0,68.59%,067xx,CT,< 1 year,0.0
20000.0,2012-06-06,debt_consolidation,724.0,28.56%,492xx,MI,< 1 year,0.0
25000.0,2012-06-08,debt_consolidation,657.0,29.7%,068xx,CT,< 1 year,0.0
32500.0,2012-06-09,PAYOFF LOANS,695.0,33.09%,751xx,TX,5 years,0.0
10000.0,2012-06-11,debt_consolidation,691.0,29.69%,331xx,FL,< 1 year,0.0
30000.0,2012-06-19,home_improvement,655.0,1.78%,402xx,KY,< 1 year,0.0
35000.0,2012-06-19,debt_consolidation,704.0,35.16%,724xx,AR,< 1 year,0.0
2000.0,2012-06-25,credit_card,511.0,6.27%,404xx,KY,< 1 year,0.0
