loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,deferral_term,disbursement_method,bad_loan,fico_score,had_hardship,debt_settlement,had_delinquency
4225.0,4225.0,4225.0,36.0,14.85,146.16,C,C5,5.0,RENT,35000.0,Source Verified,2015-12-01,Charged Off,n,debt_consolidation,KS,15.22,2.0,2011-07-01,725.0,729.0,0.0,18.0,,6.0,0.0,1058.0,24.6,6.0,w,2017-12-01,0.0,,1.0,Individual,,,,0.0,0.0,4888.0,0.0,1.0,0.0,0.0,47.0,3830.0,22.0,0.0,0.0,367.0,22.0,4300.0,0.0,0.0,0.0,0.0,815.0,2233.0,14.1,0.0,0.0,47.0,53.0,26.0,26.0,0.0,26.0,,14.0,18.0,0.0,1.0,2.0,3.0,3.0,1.0,5.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,66.7,0.0,0,0.0,21822.0,4888.0,2600.0,17522.0,,,,,,,,,,,,,,,Cash,1,727.0,0,0,1
24000.0,24000.0,24000.0,60.0,12.88,544.61,C,C2,2.0,MORTGAGE,75181.21,Not Verified,2015-12-01,Current,n,debt_consolidation,VA,31.57,0.0,2000-02-01,720.0,724.0,1.0,,,13.0,0.0,17497.0,44.4,37.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,276355.0,1.0,5.0,0.0,4.0,22.0,63173.0,59.0,1.0,1.0,11067.0,55.0,39400.0,0.0,4.0,1.0,5.0,23030.0,12303.0,58.7,0.0,0.0,157.0,190.0,1.0,1.0,4.0,1.0,,1.0,,0.0,4.0,4.0,5.0,10.0,15.0,7.0,18.0,4.0,13.0,0.0,0.0,0.0,1.0,100.0,60.0,0,0.0,354971.0,80670.0,29800.0,107671.0,,,,,,,,,,,,,,,Cash,0,722.0,0,0,0
14000.0,14000.0,14000.0,60.0,15.77,338.75,D,D1,1.0,RENT,45500.0,Not Verified,2015-12-01,Charged Off,n,debt_consolidation,TX,19.24,0.0,1981-06-01,690.0,694.0,0.0,39.0,,10.0,0.0,6297.0,25.9,12.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,200.0,37485.0,2.0,3.0,1.0,1.0,5.0,28603.0,97.0,1.0,3.0,3619.0,65.0,24300.0,3.0,0.0,5.0,5.0,4165.0,14431.0,28.9,0.0,0.0,33.0,414.0,6.0,5.0,0.0,15.0,39.0,5.0,39.0,0.0,3.0,4.0,4.0,5.0,3.0,6.0,8.0,4.0,10.0,0.0,0.0,0.0,3.0,91.7,0.0,0,0.0,57447.0,37485.0,20300.0,29581.0,,,,,,,,,,,,,,,Cash,1,692.0,0,1,1
13200.0,13200.0,13200.0,36.0,5.32,397.52,A,A1,2.0,MORTGAGE,150000.0,Not Verified,2015-12-01,Fully Paid,n,home_improvement,TX,15.45,0.0,1996-07-01,740.0,744.0,0.0,,,14.0,0.0,42605.0,27.7,30.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,365831.0,0.0,3.0,0.0,3.0,14.0,34422.0,70.0,1.0,3.0,18952.0,36.0,154000.0,0.0,0.0,0.0,6.0,26131.0,105395.0,28.8,0.0,0.0,160.0,233.0,10.0,10.0,12.0,10.0,,19.0,,0.0,5.0,5.0,8.0,9.0,6.0,9.0,12.0,5.0,14.0,0.0,0.0,0.0,1.0,100.0,25.0,0,0.0,574360.0,77027.0,148000.0,78160.0,,,,,,,,,,,,,,,Cash,0,742.0,0,0,0
18000.0,18000.0,18000.0,36.0,5.32,542.07,A,A1,10.0,OWN,76000.0,Not Verified,2015-12-01,Fully Paid,n,home_improvement,GA,18.44,1.0,1996-04-01,750.0,754.0,1.0,12.0,,14.0,0.0,2139.0,8.7,29.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,31732.0,3.0,4.0,2.0,4.0,3.0,29558.0,72.0,1.0,1.0,1659.0,48.0,24600.0,1.0,0.0,2.0,5.0,2267.0,17361.0,11.0,0.0,0.0,140.0,236.0,5.0,3.0,3.0,30.0,48.0,4.0,48.0,0.0,2.0,2.0,6.0,10.0,10.0,9.0,15.0,2.0,14.0,0.0,0.0,0.0,3.0,89.7,0.0,0,0.0,65533.0,31732.0,19500.0,40865.0,,,,,,,,,,,,,,,Cash,0,752.0,0,0,1
4175.0,4175.0,4175.0,36.0,12.88,140.44,C,C2,4.0,MORTGAGE,50720.0,Source Verified,2015-12-01,Fully Paid,n,debt_consolidation,MN,9.16,0.0,2003-11-01,665.0,669.0,0.0,46.0,,9.0,0.0,1779.0,85.0,20.0,w,2017-09-01,0.0,40.0,1.0,Individual,,,,0.0,0.0,105575.0,0.0,6.0,0.0,1.0,17.0,103796.0,101.0,1.0,2.0,916.0,85.0,2100.0,0.0,0.0,0.0,3.0,11730.0,700.0,85.0,0.0,0.0,145.0,113.0,11.0,11.0,2.0,11.0,,13.0,,1.0,3.0,3.0,4.0,4.0,12.0,3.0,4.0,3.0,9.0,,0.0,0.0,1.0,80.0,66.7,0,0.0,105046.0,105575.0,2100.0,102946.0,,,,,,,,,,,,,,,Cash,0,667.0,0,0,1
9500.0,9500.0,9500.0,36.0,9.17,302.85,B,B2,4.0,RENT,72500.0,Not Verified,2015-12-01,Fully Paid,n,debt_consolidation,AL,9.63,1.0,2003-06-01,680.0,684.0,0.0,23.0,49.0,17.0,1.0,4119.0,25.6,38.0,w,2019-03-01,0.0,33.0,1.0,Individual,,,,0.0,3000.0,74795.0,1.0,11.0,1.0,3.0,7.0,70676.0,112.0,2.0,2.0,1935.0,94.0,16100.0,5.0,1.0,3.0,5.0,4675.0,11981.0,25.6,0.0,0.0,108.0,43.0,4.0,4.0,0.0,4.0,,2.0,,0.0,5.0,5.0,5.0,5.0,32.0,5.0,5.0,5.0,16.0,0.0,0.0,0.0,3.0,84.2,0.0,0,0.0,79506.0,74795.0,16100.0,63406.0,,,,,,,,,,,,,,,Cash,0,682.0,0,0,1
21000.0,21000.0,21000.0,60.0,17.27,524.96,D,D3,1.0,RENT,105000.0,Source Verified,2015-12-01,Current,n,debt_consolidation,CO,12.58,0.0,2004-08-01,675.0,679.0,0.0,,79.0,8.0,1.0,25571.0,76.9,13.0,w,2019-03-01,0.0,,1.0,Individual,,,,0.0,0.0,319529.0,1.0,1.0,0.0,1.0,21.0,22508.0,76.0,3.0,4.0,9061.0,76.0,32200.0,1.0,1.0,1.0,6.0,39941.0,2415.0,89.9,0.0,0.0,131.0,136.0,1.0,1.0,2.0,8.0,,4.0,,0.0,4.0,6.0,4.0,4.0,4.0,6.0,7.0,6.0,8.0,0.0,0.0,0.0,4.0,100.0,100.0,1,0.0,336636.0,48079.0,27100.0,29711.0,,,,,,,,,,,,,,,Cash,0,677.0,0,0,0
24000.0,24000.0,24000.0,36.0,7.49,746.44,A,A4,4.0,RENT,111000.0,Source Verified,2015-12-01,Fully Paid,n,credit_card,CA,16.42,0.0,1969-04-01,740.0,744.0,1.0,,,19.0,0.0,31034.0,43.6,45.0,w,2018-11-01,0.0,,1.0,Individual,,,,0.0,0.0,124648.0,1.0,5.0,0.0,1.0,13.0,93614.0,71.0,2.0,4.0,5976.0,57.0,71100.0,0.0,0.0,1.0,5.0,6925.0,36242.0,45.7,0.0,0.0,179.0,560.0,3.0,3.0,0.0,3.0,,1.0,,0.0,8.0,10.0,11.0,18.0,20.0,14.0,25.0,11.0,19.0,0.0,0.0,0.0,2.0,100.0,30.0,0,0.0,195461.0,124648.0,66800.0,124361.0,,,,,,,,,,,,,,,Cash,0,742.0,0,0,0
29500.0,29500.0,29500.0,36.0,13.44,1000.24,C,C3,10.0,OWN,59000.0,Source Verified,2015-12-01,Fully Paid,n,debt_consolidation,SC,20.08,0.0,1988-09-01,660.0,664.0,0.0,,,6.0,0.0,43279.0,42.3,10.0,w,2018-09-01,0.0,,1.0,Individual,,,,0.0,187.0,43279.0,0.0,0.0,0.0,0.0,100.0,0.0,,0.0,0.0,21131.0,42.0,102200.0,0.0,0.0,0.0,0.0,7213.0,23921.0,64.4,0.0,0.0,100.0,327.0,26.0,26.0,0.0,26.0,,,,0.0,4.0,4.0,5.0,7.0,1.0,6.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,100.0,60.0,0,0.0,102200.0,43279.0,67200.0,0.0,,,,,,,,,,,,,,,Cash,0,662.0,0,0,0
