loan_amnt,dti,fico_score,addr_state,emp_length,issue_d,bad_loan,int_rate,grade,annual_inc,home_ownership,rejected
4225.0,15.22,727.0,KS,5.0,2015-12-01,1.0,14.85,C,35000.0,RENT,0
24000.0,31.57,722.0,VA,2.0,2015-12-01,0.0,12.88,C,75181.21,MORTGAGE,0
14000.0,19.24,692.0,TX,1.0,2015-12-01,1.0,15.77,D,45500.0,RENT,0
13200.0,15.45,742.0,TX,2.0,2015-12-01,0.0,5.32,A,150000.0,MORTGAGE,0
18000.0,18.44,752.0,GA,10.0,2015-12-01,0.0,5.32,A,76000.0,OWN,0
4175.0,9.16,667.0,MN,4.0,2015-12-01,0.0,12.88,C,50720.0,MORTGAGE,0
9500.0,9.63,682.0,AL,4.0,2015-12-01,0.0,9.17,B,72500.0,RENT,0
21000.0,12.58,677.0,CO,1.0,2015-12-01,0.0,17.27,D,105000.0,RENT,0
24000.0,16.42,742.0,CA,4.0,2015-12-01,0.0,7.49,A,111000.0,RENT,0
29500.0,20.08,662.0,SC,10.0,2015-12-01,0.0,13.44,C,59000.0,OWN,0
4850.0,18.37,672.0,GA,5.0,2015-12-01,0.0,11.99,C,39000.0,MORTGAGE,0
11000.0,26.32,787.0,TX,10.0,2015-12-01,0.0,6.49,A,75000.0,MORTGAGE,0
20000.0,11.36,667.0,NY,10.0,2015-12-01,0.0,13.99,C,120000.0,OWN,0
17000.0,24.45,697.0,GA,1.0,2015-12-01,0.0,8.49,B,85000.0,MORTGAGE,0
20000.0,14.86,712.0,MA,10.0,2015-12-01,0.0,13.99,C,130000.0,MORTGAGE,0
28000.0,21.49,702.0,NY,10.0,2015-12-01,0.0,6.99,A,100000.0,MORTGAGE,0
20000.0,13.49,772.0,CA,7.0,2015-12-01,0.0,7.49,A,58000.0,MORTGAGE,0
24800.0,37.29,722.0,AZ,1.0,2015-12-01,1.0,15.77,D,70000.0,OWN,0
18000.0,12.2,687.0,CA,5.0,2015-12-01,0.0,6.49,A,95000.0,MORTGAGE,0
5000.0,16.47,702.0,FL,2.0,2015-12-01,0.0,9.8,B,47000.0,MORTGAGE,0
12000.0,6.65,812.0,NY,9.0,2015-12-01,0.0,5.32,A,134000.0,MORTGAGE,0
21000.0,19.89,767.0,HI,10.0,2015-12-01,0.0,8.49,B,92000.0,MORTGAGE,0
20800.0,22.73,727.0,TN,2.0,2015-12-01,0.0,9.8,B,81000.0,MORTGAGE,0
7850.0,28.96,662.0,TX,1.0,2015-12-01,0.0,17.27,D,45000.0,RENT,0
35000.0,16.51,692.0,MN,,2015-12-01,0.0,13.99,C,104640.0,MORTGAGE,0
20000.0,25.76,707.0,TX,10.0,2015-12-01,0.0,11.99,C,118000.0,MORTGAGE,0
12000.0,17.39,677.0,AZ,5.0,2015-12-01,1.0,9.8,B,41000.0,MORTGAGE,0
2000.0,13.94,682.0,NJ,,2015-12-01,0.0,10.78,B,34000.0,OWN,0
6000.0,4.14,752.0,VA,10.0,2015-12-01,0.0,5.32,A,41175.0,MORTGAGE,0
35000.0,15.4,712.0,TX,,2015-12-01,0.0,18.49,D,73309.8,RENT,0
5000.0,6.1,692.0,MI,1.0,2015-12-01,0.0,7.91,A,60000.0,OWN,0
7500.0,12.27,722.0,FL,10.0,2015-12-01,0.0,6.99,A,68000.0,MORTGAGE,0
28000.0,19.65,702.0,WI,10.0,2015-12-01,0.0,22.45,F,65000.0,OWN,0
11025.0,26.21,687.0,CO,5.0,2015-12-01,0.0,13.44,C,24000.0,RENT,0
10000.0,13.46,662.0,CA,8.0,2015-12-01,0.0,9.17,B,70000.0,RENT,0
11500.0,12.48,702.0,IL,1.0,2015-12-01,0.0,11.99,C,25000.0,RENT,0
6000.0,33.84,692.0,CA,2.0,2015-12-01,0.0,10.78,B,17000.0,RENT,0
2400.0,30.87,672.0,CO,3.0,2015-12-01,0.0,16.59,D,14000.0,RENT,0
10000.0,14.29,702.0,FL,5.0,2015-12-01,0.0,10.78,B,45000.0,RENT,0
8000.0,30.09,682.0,NM,10.0,2015-12-01,0.0,11.48,B,52000.0,OWN,0
32000.0,12.8,712.0,MI,7.0,2015-12-01,1.0,14.85,C,80000.0,RENT,0
22400.0,17.75,692.0,MO,6.0,2015-12-01,0.0,10.78,B,70000.0,MORTGAGE,0
28000.0,12.14,797.0,TN,3.0,2015-12-01,0.0,5.32,A,202000.0,MORTGAGE,0
12000.0,15.12,757.0,FL,1.0,2015-12-01,1.0,14.85,C,75000.0,MORTGAGE,0
11500.0,22.35,707.0,CA,5.0,2015-12-01,0.0,10.78,B,74600.0,RENT,0
28500.0,16.3,672.0,CA,10.0,2015-12-01,0.0,18.49,D,75000.0,MORTGAGE,0
20000.0,29.7,692.0,WI,10.0,2015-12-01,1.0,12.59,C,60500.0,MORTGAGE,0
4000.0,23.23,712.0,MO,2.0,2015-12-01,0.0,11.99,C,28000.0,RENT,0
7000.0,18.0,682.0,TX,2.0,2015-12-01,0.0,9.8,B,60000.0,RENT,0
20000.0,10.29,687.0,NY,3.0,2015-12-01,0.0,10.64,B,93875.0,MORTGAGE,0
24000.0,8.62,692.0,CA,4.0,2015-12-01,0.0,7.89,A,240000.0,MORTGAGE,0
1000.0,1.81,752.0,MD,1.0,2015-12-01,0.0,9.76,B,68000.0,RENT,0
16000.0,23.78,742.0,WV,6.0,2015-12-01,0.0,11.22,B,64000.0,MORTGAGE,0
30800.0,21.02,682.0,IL,7.0,2015-12-01,0.0,22.99,F,70000.0,MORTGAGE,0
24000.0,10.57,687.0,CO,5.0,2015-12-01,0.0,9.17,B,98000.0,MORTGAGE,0
10000.0,6.72,662.0,NY,2.0,2015-12-01,0.0,11.99,C,30000.0,RENT,0
24000.0,26.09,667.0,KS,8.0,2015-12-01,1.0,11.99,C,68000.0,OWN,0
5000.0,15.32,662.0,FL,9.0,2015-12-01,1.0,10.64,B,81000.0,MORTGAGE,0
6000.0,34.8,677.0,CA,6.0,2015-12-01,0.0,13.18,C,40000.0,RENT,0
23000.0,7.45,682.0,CA,10.0,2015-12-01,0.0,11.99,C,82994.0,MORTGAGE,0
12000.0,27.9,702.0,OR,8.0,2015-12-01,0.0,6.89,A,72000.0,RENT,0
9600.0,16.96,662.0,CT,2.0,2015-12-01,0.0,15.41,D,38500.0,OWN,0
4000.0,16.51,697.0,MO,8.0,2015-12-01,0.0,17.57,D,84000.0,OWN,0
16325.0,37.11,672.0,TX,8.0,2015-12-01,1.0,16.99,D,49000.0,MORTGAGE,0
20450.0,30.02,677.0,IL,4.0,2015-12-01,0.0,16.99,D,71000.0,RENT,0
10000.0,6.03,757.0,NJ,10.0,2015-12-01,0.0,5.32,A,43000.0,RENT,0
12350.0,34.16,742.0,AL,10.0,2015-12-01,0.0,11.99,C,34000.0,MORTGAGE,0
2500.0,6.78,747.0,WA,10.0,2015-12-01,0.0,10.64,B,60000.0,RENT,0
10000.0,3.89,682.0,WA,10.0,2015-12-01,0.0,6.24,A,42000.0,MORTGAGE,0
28000.0,23.67,697.0,VA,10.0,2015-12-01,0.0,5.32,A,105000.0,MORTGAGE,0
6000.0,11.52,667.0,PA,3.0,2015-12-01,0.0,17.57,D,20000.0,RENT,0
7475.0,32.51,672.0,NM,7.0,2015-12-01,0.0,6.0,D,22000.0,RENT,0
3500.0,2.17,677.0,TX,1.0,2015-12-01,0.0,11.99,C,62000.0,RENT,0
28800.0,16.34,717.0,CA,3.0,2015-12-01,0.0,10.64,B,100000.0,RENT,0
19200.0,16.68,672.0,MA,10.0,2015-12-01,1.0,15.41,D,101000.0,MORTGAGE,0
9125.0,22.29,672.0,AZ,1.0,2015-12-01,0.0,14.48,C,42000.0,MORTGAGE,0
