loan_amnt,term,int_rate,grade,annual_inc,dti,fico_score,open_acc,revol_util,inq_last_6mths,delinq_2yrs,pub_rec,home_ownership,addr_state,emp_length,acc_now_delinq,mort_acc,had_hardship,purpose,bad_loan
3600.0, 36 months,13.99,C,55000.0,5.91,677.0,7.0,29.7,1.0,0.0,0.0,MORTGAGE,PA,10.0,0.0,1.0,0,debt_consolidation,0
24700.0, 36 months,11.99,C,65000.0,16.06,717.0,22.0,19.2,4.0,1.0,0.0,MORTGAGE,SD,10.0,0.0,4.0,0,small_business,0
20000.0, 60 months,10.78,B,63000.0,10.78,697.0,6.0,56.2,0.0,0.0,0.0,MORTGAGE,IL,10.0,0.0,5.0,0,home_improvement,0
35000.0, 60 months,14.85,C,110000.0,17.06,787.0,13.0,11.6,0.0,0.0,0.0,MORTGAGE,NJ,10.0,0.0,1.0,0,debt_consolidation,0
10400.0, 60 months,22.45,F,104433.0,25.37,697.0,12.0,64.5,3.0,1.0,0.0,MORTGAGE,PA,3.0,0.0,6.0,0,major_purchase,0
11950.0, 36 months,13.44,C,34000.0,10.2,692.0,5.0,68.4,0.0,0.0,0.0,RENT,GA,4.0,0.0,0.0,0,debt_consolidation,0
20000.0, 36 months,9.17,B,180000.0,14.67,682.0,12.0,84.5,0.0,0.0,0.0,MORTGAGE,MN,10.0,0.0,4.0,0,debt_consolidation,0
20000.0, 36 months,8.49,B,85000.0,17.61,707.0,8.0,5.7,0.0,1.0,0.0,MORTGAGE,SC,10.0,0.0,3.0,0,major_purchase,0
10000.0, 36 months,6.49,A,85000.0,13.07,687.0,14.0,34.5,1.0,0.0,1.0,RENT,PA,6.0,0.0,1.0,0,credit_card,0
8000.0, 36 months,11.48,B,42000.0,34.8,702.0,8.0,39.1,0.0,0.0,0.0,MORTGAGE,RI,10.0,0.0,1.0,0,credit_card,0
22400.0, 60 months,12.88,C,95000.0,22.98,712.0,16.0,32.7,0.0,0.0,0.0,MORTGAGE,SC,6.0,0.0,5.0,0,debt_consolidation,0
16000.0, 60 months,12.88,C,70000.0,26.4,722.0,13.0,56.3,0.0,0.0,0.0,MORTGAGE,TX,1.0,0.0,2.0,0,debt_consolidation,0
1400.0, 36 months,12.88,C,64000.0,34.95,702.0,17.0,67.2,0.0,0.0,0.0,MORTGAGE,NC,3.0,0.0,4.0,0,other,0
18000.0, 60 months,19.48,E,150000.0,9.39,667.0,18.0,40.7,1.0,0.0,1.0,RENT,CA,7.0,0.0,2.0,0,debt_consolidation,1
28000.0, 36 months,6.49,A,92000.0,21.6,722.0,16.0,64.5,0.0,0.0,0.0,MORTGAGE,NC,10.0,0.0,2.0,0,debt_consolidation,0
9600.0, 36 months,7.49,A,60000.0,22.44,697.0,7.0,59.4,0.0,0.0,0.0,MORTGAGE,SC,8.0,0.0,0.0,0,credit_card,0
25000.0, 36 months,7.49,A,109000.0,26.02,747.0,9.0,54.3,1.0,0.0,0.0,MORTGAGE,VA,10.0,0.0,3.0,0,debt_consolidation,0
18000.0, 60 months,11.99,C,112000.0,8.68,802.0,17.0,15.5,0.0,0.0,0.0,MORTGAGE,AZ,10.0,0.0,4.0,0,debt_consolidation,0
23000.0, 60 months,8.49,B,64000.0,18.28,702.0,21.0,52.7,0.0,0.0,0.0,RENT,NY,5.0,0.0,0.0,0,credit_card,0
8650.0, 36 months,19.89,E,55000.0,25.49,677.0,18.0,46.0,4.0,0.0,1.0,RENT,IN,8.0,0.0,0.0,0,debt_consolidation,0
29900.0, 60 months,12.88,C,65000.0,21.77,717.0,15.0,46.7,0.0,0.0,0.0,MORTGAGE,MD,10.0,0.0,2.0,0,debt_consolidation,0
16000.0, 60 months,14.85,C,48000.0,33.18,687.0,11.0,29.6,0.0,0.0,2.0,MORTGAGE,SC,10.0,0.0,2.0,0,credit_card,0
28000.0, 36 months,13.44,C,125000.0,7.49,697.0,6.0,63.1,0.0,0.0,0.0,OWN,NY,2.0,0.0,0.0,0,debt_consolidation,0
5000.0, 36 months,13.44,C,79000.0,12.7,667.0,3.0,101.5,0.0,0.0,0.0,RENT,MD,2.0,0.0,0.0,0,credit_card,0
6000.0, 36 months,7.49,A,100000.0,13.28,697.0,9.0,72.0,1.0,1.0,0.0,MORTGAGE,TX,10.0,0.0,2.0,0,debt_consolidation,0
4225.0, 36 months,14.85,C,35000.0,15.22,727.0,6.0,24.6,0.0,2.0,0.0,RENT,KS,5.0,0.0,0.0,0,debt_consolidation,1
20000.0, 36 months,5.32,A,65000.0,18.83,837.0,12.0,3.0,1.0,0.0,0.0,OWN,NY,9.0,0.0,0.0,0,debt_consolidation,0
16000.0, 60 months,17.97,D,109000.0,23.35,682.0,11.0,87.6,1.0,0.0,0.0,MORTGAGE,NM,1.0,0.0,1.0,0,debt_consolidation,0
17600.0, 36 months,5.32,A,88000.0,26.59,782.0,20.0,34.4,0.0,0.0,0.0,MORTGAGE,KS,1.0,0.0,5.0,0,credit_card,0
15000.0, 36 months,5.32,A,44000.0,15.34,687.0,7.0,50.3,1.0,0.0,0.0,MORTGAGE,VA,10.0,0.0,2.0,0,home_improvement,0
16000.0, 36 months,12.88,C,65000.0,18.96,677.0,7.0,54.3,0.0,0.0,1.0,MORTGAGE,AL,10.0,0.0,0.0,0,small_business,1
24250.0, 60 months,24.24,F,75000.0,20.84,662.0,18.0,65.3,0.0,0.0,0.0,MORTGAGE,NY,4.0,0.0,2.0,0,debt_consolidation,1
12000.0, 36 months,10.78,B,98000.0,24.04,692.0,15.0,62.8,0.0,0.0,1.0,RENT,WA,1.0,0.0,8.0,0,debt_consolidation,0
25000.0, 60 months,13.99,C,79000.0,34.53,732.0,33.0,18.6,1.0,0.0,0.0,MORTGAGE,MD,9.0,0.0,6.0,0,debt_consolidation,1
16800.0, 60 months,12.88,C,118000.0,34.29,682.0,11.0,24.1,0.0,0.0,1.0,MORTGAGE,MO,10.0,0.0,4.0,0,debt_consolidation,0
7000.0, 36 months,7.49,A,59000.0,13.06,732.0,10.0,24.2,1.0,1.0,0.0,MORTGAGE,MD,10.0,0.0,3.0,0,credit_card,0
21000.0, 60 months,13.99,C,52000.0,14.47,682.0,5.0,87.4,1.0,0.0,0.0,RENT,OH,1.0,0.0,0.0,0,credit_card,0
27500.0, 60 months,14.85,C,195000.0,6.79,702.0,14.0,50.9,0.0,0.0,0.0,MORTGAGE,LA,10.0,0.0,1.0,0,other,0
7200.0, 36 months,11.48,B,72500.0,8.47,727.0,5.0,35.2,1.0,0.0,0.0,MORTGAGE,GA,10.0,0.0,2.0,0,home_improvement,0
20000.0, 36 months,14.85,C,110000.0,12.45,692.0,8.0,84.5,0.0,0.0,0.0,RENT,IL,6.0,0.0,0.0,0,credit_card,0
20000.0, 36 months,15.77,D,70000.0,22.21,682.0,24.0,36.6,0.0,0.0,0.0,RENT,FL,5.0,0.0,1.0,0,house,0
10000.0, 60 months,17.97,D,55000.0,35.7,687.0,14.0,78.0,0.0,0.0,0.0,MORTGAGE,CO,2.0,0.0,6.0,0,credit_card,1
16000.0, 60 months,13.99,C,142000.0,17.74,682.0,15.0,39.9,2.0,2.0,2.0,MORTGAGE,CA,9.0,0.0,1.0,0,debt_consolidation,0
20000.0, 36 months,9.8,B,75000.0,23.45,727.0,14.0,9.6,0.0,0.0,0.0,RENT,WA,5.0,0.0,1.0,0,debt_consolidation,0
8650.0, 36 months,5.32,A,100000.0,7.28,752.0,15.0,26.7,0.0,0.0,0.0,MORTGAGE,IN,1.0,0.0,1.0,0,credit_card,0
21000.0, 60 months,13.44,C,54649.0,12.14,672.0,9.0,26.8,0.0,0.0,1.0,RENT,TX,2.0,0.0,2.0,0,debt_consolidation,0
7200.0, 36 months,15.77,D,55000.0,17.35,682.0,24.0,69.0,0.0,0.0,1.0,RENT,NY,1.0,0.0,0.0,0,debt_consolidation,0
8800.0, 36 months,9.8,B,92000.0,5.18,667.0,9.0,76.6,1.0,0.0,0.0,MORTGAGE,MI,10.0,0.0,2.0,0,credit_card,0
