amount_requested,application_date,loan_title,risk_score,zip_code,state,employment_length,policy_code,dti,rejected
2000.0,,Honey,665.0,850xx,AZ,< 1 year,0.0,35.4,1
10000.0,,littlebit0118,561.0,275xx,NC,10+ years,0.0,22.33,1
6000.0,,sjsmom,496.0,746xx,OK,1 year,0.0,5.6,1
1700.0,,RogerC,580.0,941xx,CA,6 years,0.0,8.94,1
20000.0,,other,635.0,453xx,OH,10+ years,0.0,51.58,1
10000.0,,debt loan,646.0,125xx,NY,4 years,0.0,1.66,1
15000.0,,loan for debt,669.0,920xx,CA,10+ years,0.0,5.89,1
25000.0,,,643.0,681xx,NE,1 year,0.0,17.33,1
3000.0,,FreshStartPleaseHelp,463.0,935xx,CA,2 years,0.0,1.3,1
7500.0,,Consolidating several credit cards,655.0,972xx,OR,< 1 year,0.0,29.39,1
5000.0,, ,506.0,532xx,WI,6 years,0.0,0.44,1
5000.0,,car loan,488.0,176xx,PA,2 years,0.0,1.51,1
25000.0,,Need Loan. ,,060xx,CT,4 years,0.0,-1.0,1
5000.0,,Insurance Marketing for Medicare,559.0,932xx,CA,4 years,0.0,4.98,1
5000.0,,loan with a purpose,485.0,056xx,VT,10+ years,0.0,0.0,1
15000.0,,DEBT CONSOLIDATION LOAN,487.0,952xx,CA,10+ years,0.0,11.85,1
25000.0,,Personal Loan,,703xx,LA,< 1 year,0.0,-1.0,1
7500.0,,motorcycle shop equipment,703.0,181xx,PA,2 years,0.0,7.8,1
8000.0,, Loan to Create Online Fashion Business,542.0,983xx,WA,< 1 year,0.0,0.0,1
2500.0,,bILL pAYMENT,470.0,461xx,IL,3 years,0.0,1.41,1
25000.0,,Business Loan,586.0,330xx,FL,10+ years,0.0,2.74,1
16500.0,,Consolidate!,699.0,926xx,CA,2 years,0.0,25.05,1
16000.0,, ,639.0,120xx,NY,2 years,0.0,37.04,1
15000.0,,HOME IMPROVMENT,638.0,760xx,TX,3 years,0.0,16.95,1
6200.0,, ,689.0,705xx,LA,< 1 year,0.0,30.56,1
5000.0,,Please help me finish school,565.0,850xx,AZ,< 1 year,0.0,46.87,1
10000.0,,payoff,562.0,752xx,TX,10+ years,0.0,5.3,1
2500.0,,Rebuilding Credit,531.0,900xx,CA,1 year,0.0,23.59,1
9000.0,, ,692.0,301xx,GA,1 year,0.0,20.84,1
8000.0,,Bridge Loan,613.0,774xx,TX,4 years,0.0,4.22,1
25000.0,,Small Business Capital ,644.0,606xx,IL,2 years,0.0,14.4,1
9000.0,,Credit Card Refinancing,695.0,750xx,TX,7 years,0.0,4.97,1
15000.0,,personal,569.0,324xx,FL,< 1 year,0.0,0.0,1
5000.0,,Pay off Debt with National City,605.0,437xx,OH,9 years,0.0,22.85,1
3000.0,,personal,415.0,891xx,NV,10+ years,0.0,2.32,1
5500.0,,Jarryd's payoff loan,722.0,993xx,WA,< 1 year,0.0,22.46,1
20000.0,,Loan For Nursing,,300xx,GA,3 years,0.0,-1.0,1
5000.0,,need help asap,,071xx,NJ,< 1 year,0.0,-1.0,1
2000.0,,Online school ,538.0,844xx,UT,< 1 year,0.0,0.0,1
2300.0,,School Loan- The Massage School.org,585.0,015xx,MA,< 1 year,0.0,0.0,1
5000.0,,Cosolidate,536.0,488xx,MI,10+ years,0.0,120.15,1
25000.0,,Concert Promotion Opportunity,792.0,365xx,AL,10+ years,0.0,82.0,1
3000.0,, ,703.0,100xx,NY,2 years,0.0,5.78,1
12000.0,,Private Education Loan,594.0,303xx,GA,< 1 year,0.0,0.0,1
10000.0,,Personal,667.0,782xx,TX,3 years,0.0,16.62,1
6000.0,, ,,350xx,AL,< 1 year,0.0,200.0,1
6000.0,,school finance,,117xx,NY,< 1 year,0.0,-1.0,1
11000.0,,Education,627.0,394xx,MS,< 1 year,0.0,18.4,1
2000.0,,School Loan,665.0,234xx,VA,1 year,0.0,48.5,1
12000.0,,Loan for college,639.0,489xx,MI,< 1 year,0.0,50.0,1
25000.0,,Katerina Tana Collection - LOOM,631.0,902xx,CA,9 years,0.0,36.42,1
10000.0,,Education Loan,,100xx,NY,< 1 year,0.0,-1.0,1
2000.0,,personal loan,487.0,236xx,VA,10+ years,0.0,200.0,1
5000.0,, ,,395xx,MS,1 year,0.0,200.0,1
18000.0,, ,671.0,158xx,PA,10+ years,0.0,13.17,1
20000.0,,Looking to Consolidation Debt,659.0,034xx,NH,2 years,0.0,43.09,1
15000.0,,kids,485.0,930xx,CA,1 year,0.0,20.26,1
10000.0,,Sincere,629.0,193xx,PA,10+ years,0.0,26.86,1
1000.0,,Test request,,951xx,CA,< 1 year,0.0,-1.0,1
20000.0,,Home and Business Loan,693.0,921xx,CA,10+ years,0.0,21.21,1
5000.0,,pay off my debt,509.0,953xx,CA,10+ years,0.0,18.3,1
2000.0,,Bill Payments,674.0,088xx,NJ,3 years,0.0,15.17,1
5000.0,,Daughter's Dream Wedding,0.0,924xx,CA,7 years,0.0,0.0,1
1000.0,,home_improvement,0.0,335xx,FL,< 1 year,0.0,19.33,1
1500.0,, ,651.0,191xx,PA,2 years,0.0,47.45,1
12000.0,,debt_consolidation,692.0,787xx,TX,2 years,0.0,46.95,1
30000.0,, ,666.0,112xx,NY,10+ years,0.0,1.97,1
15000.0,, ,720.0,073xx,NJ,3 years,0.0,26.66,1
10000.0,,small_business,525.0,115xx,NY,< 1 year,0.0,39.86,1
10000.0,,debt_consolidation,547.0,706xx,LA,8 years,0.0,4.73,1
10000.0,,other,466.0,630xx,MO,4 years,0.0,56.4,1
10000.0,, ,,765xx,TX,1 year,0.0,200.0,1
19000.0,,credit_card,680.0,827xx,WY,6 years,0.0,33.47,1
10000.0,,wedding,670.0,112xx,NY,10+ years,0.0,7.08,1
23000.0,, ,735.0,321xx,FL,10+ years,0.0,33.23,1
4500.0,,medical,537.0,338xx,FL,3 years,0.0,34.13,1
11000.0,,debt_consolidation,730.0,432xx,OH,4 years,0.0,29.34,1
6000.0,,credit_card,672.0,063xx,CT,6 years,0.0,28.05,1
10000.0,,car,592.0,900xx,CA,,0.0,6.91,1
7000.0,,educational,459.0,450xx,OH,,0.0,20.8,1
15000.0,,debt_consolidation,695.0,118xx,NY,3 years,0.0,50.59,1
15000.0,,debt_consolidation,693.0,931xx,CA,4 years,0.0,33.19,1
10000.0,,car,618.0,329xx,FL,1 year,0.0,3.16,1
10000.0,,small_business,608.0,441xx,OH,< 1 year,0.0,14.03,1
7000.0,,car,0.0,553xx,MN,< 1 year,0.0,0.0,1
7000.0,,debt_consolidation,580.0,103xx,NY,10+ years,0.0,2.11,1
15000.0,,Home improvement loan ,694.0,115xx,NY,10+ years,0.0,5.19,1
1000.0,,medical,651.0,786xx,TX,< 1 year,0.0,108.86,1
20000.0,,credit_card,697.0,061xx,CT,< 1 year,0.0,42.92,1
25000.0,,debt_consolidation,757.0,856xx,AZ,< 1 year,0.0,12.3,1
3000.0,,other,547.0,435xx,OH,10+ years,0.0,17.8,1
10000.0,,major_purchase,688.0,601xx,IL,< 1 year,0.0,7.81,1
10000.0,,debt_consolidation,679.0,448xx,OH,< 1 year,0.0,8.94,1
6000.0,,debt_consolidation,0.0,195xx,PA,< 1 year,0.0,0.0,1
1500.0,,medical,649.0,402xx,KY,< 1 year,0.0,6.33,1
15000.0,,debt_consolidation,652.0,841xx,UT,< 1 year,0.0,33.09,1
9000.0,,major_purchase,737.0,701xx,LA,< 1 year,0.0,35.63,1
5000.0,,other,622.0,030xx,NH,< 1 year,0.0,4.46,1
6000.0,,debt_consolidation,631.0,498xx,MI,< 1 year,0.0,31.29,1
8500.0,,Soldier's Financial FREEDOM,692.0,070xx,NJ,< 1 year,0.0,2.43,1
10000.0,,debt_consolidation,446.0,142xx,NY,< 1 year,0.0,23.86,1
8000.0,,debt_consolidation,447.0,774xx,TX,< 1 year,0.0,38.81,1
16000.0,,debt_consolidation,650.0,636xx,MO,< 1 year,0.0,6.88,1
20000.0,,debt_consolidation,692.0,117xx,NY,< 1 year,0.0,36.24,1
15000.0,,ARP Wave,797.0,805xx,CO,10+ years,0.0,0.0,1
15000.0,,credit_card,602.0,904xx,CA,< 1 year,0.0,22.49,1
5000.0,,car,,775xx,TX,< 1 year,0.0,-1.0,1
5500.0,,personal / condoidation,589.0,324xx,FL,3 years,0.0,31.61,1
5000.0,,business purchase,538.0,083xx,NJ,1 year,0.0,42.54,1
25000.0,,debt_consolidation,,786xx,TX,< 1 year,0.0,31.82,1
7000.0,,debt_consolidation,603.0,956xx,CA,< 1 year,0.0,12.96,1
5000.0,,major_purchase,498.0,100xx,NY,< 1 year,0.0,76.08,1
15000.0,,debt_consolidation,684.0,260xx,WV,< 1 year,0.0,45.0,1
10000.0,,home_improvement,622.0,891xx,NV,< 1 year,0.0,1.62,1
5000.0,,debt_consolidation,620.0,415xx,KY,< 1 year,0.0,44.25,1
6000.0,,consolidation,716.0,300xx,GA,,0.0,4.62,1
1000.0,,major_purchase,674.0,750xx,TX,< 1 year,0.0,41.12,1
20000.0,,debt_consolidation,742.0,282xx,NC,< 1 year,0.0,13.46,1
10000.0,,credit_card,664.0,441xx,OH,< 1 year,0.0,36.14,1
16000.0,,co-op apartment,701.0,116xx,NY,9 years,0.0,13.82,1
10000.0,,renewable_energy,525.0,922xx,CA,< 1 year,0.0,0.51,1
15000.0,,debt_consolidation,0.0,331xx,FL,< 1 year,0.0,0.0,1
10000.0,,debt_consolidation,597.0,940xx,CA,< 1 year,0.0,1.47,1
25000.0,,debt_consolidation,749.0,064xx,CT,< 1 year,0.0,29.4,1
5000.0,,home_improvement,615.0,330xx,FL,< 1 year,0.0,1.88,1
15000.0,,debt_consolidation,653.0,945xx,CA,< 1 year,0.0,14.68,1
3500.0,,moving,0.0,540xx,WI,< 1 year,0.0,0.0,1
15000.0,,debt_consolidation,725.0,170xx,PA,< 1 year,0.0,17.61,1
22000.0,,car,667.0,069xx,CT,< 1 year,0.0,1.95,1
3000.0,,other,695.0,019xx,MA,5 years,0.0,27.32,1
2000.0,,debt_consolidation,518.0,701xx,LA,< 1 year,0.0,11.28,1
17500.0,,other,692.0,750xx,TX,4 years,0.0,8.86,1
8000.0,,other,631.0,770xx,TX,6 years,0.0,12.81,1
9000.0,,car,648.0,603xx,IL,< 1 year,0.0,12.48,1
4000.0,,moving,618.0,303xx,GA,< 1 year,0.0,5.76,1
5800.0,,major_purchase,645.0,928xx,CA,3 years,0.0,2.84,1
4200.0,,vacation,518.0,244xx,VA,< 1 year,0.0,17.6,1
25000.0,,home_improvement,739.0,077xx,NJ,< 1 year,0.0,8.08,1
10000.0,,major_purchase,715.0,231xx,VA,< 1 year,0.0,51.79,1
8000.0,,home_improvement,689.0,195xx,PA,< 1 year,0.0,20.88,1
1500.0,,other,565.0,945xx,CA,< 1 year,0.0,14.52,1
6000.0,,major_purchase,615.0,781xx,TX,< 1 year,0.0,32.7,1
1500.0,,other,566.0,757xx,TX,1 year,0.0,17.14,1
11000.0,,debt_consolidation,503.0,364xx,AL,< 1 year,0.0,19.23,1
15000.0,,small_business,551.0,359xx,AL,< 1 year,0.0,2.01,1
1500.0,,other,553.0,275xx,NC,6 years,0.0,2.24,1
4500.0,,debt_consolidation,694.0,170xx,PA,< 1 year,0.0,23.65,1
5000.0,,wedding,536.0,483xx,MI,< 1 year,0.0,5.12,1
1000.0,,debt_consolidation,492.0,325xx,FL,< 1 year,0.0,15.47,1
8000.0,,other,677.0,785xx,TX,2 years,0.0,102.2,1
1500.0,,other,566.0,750xx,TX,< 1 year,0.0,0.0,1
10000.0,,small_business,553.0,547xx,WI,< 1 year,0.0,6.31,1
7500.0,,credit_card,685.0,234xx,VA,< 1 year,0.0,31.03,1
4000.0,,major_purchase,632.0,136xx,NY,< 1 year,0.0,14.25,1
5000.0,,debt_consolidation,646.0,201xx,VA,< 1 year,0.0,1.56,1
2000.0,,home_improvement,0.0,492xx,MI,< 1 year,0.0,0.0,1
18000.0,,debt_consolidation,676.0,322xx,FL,5 years,0.0,13.62,1
10000.0,,credit_card,622.0,605xx,IL,< 1 year,0.0,43.28,1
5000.0,,home_improvement,634.0,150xx,PA,< 1 year,0.0,20.7,1
2700.0,,house,434.0,708xx,LA,< 1 year,0.0,15.44,1
12500.0,,car,659.0,300xx,GA,10+ years,0.0,13.98,1
18000.0,,car,791.0,791xx,TX,< 1 year,0.0,52.67,1
1000.0,,vacation,657.0,300xx,GA,< 1 year,0.0,0.0,1
20000.0,,car,671.0,992xx,WA,< 1 year,0.0,9.91,1
1000.0,,debt_consolidation,656.0,750xx,TX,< 1 year,0.0,26.82,1
35000.0,,home_improvement,517.0,282xx,NC,< 1 year,0.0,0.0,1
25000.0,,home_improvement,0.0,349xx,FL,< 1 year,0.0,-1.0,1
5000.0,,other,626.0,320xx,FL,< 1 year,0.0,3.91,1
8000.0,,car,773.0,625xx,IL,< 1 year,0.0,34.2,1
3900.0,,other,774.0,571xx,SD,10+ years,0.0,31.76,1
10000.0,,small_business,510.0,433xx,OH,< 1 year,0.0,77.42,1
1500.0,,medical,484.0,359xx,AL,< 1 year,0.0,22.07,1
20000.0,,other,473.0,675xx,KS,< 1 year,0.0,20.65,1
15000.0,,debt_consolidation,655.0,432xx,OH,< 1 year,0.0,18.08,1
20000.0,,debt_consolidation,651.0,913xx,CA,< 1 year,0.0,35.71,1
9000.0,,credit_card,567.0,223xx,VA,< 1 year,0.0,31.73,1
10000.0,,small_business,661.0,294xx,SC,< 1 year,0.0,16.0,1
5000.0,,car,,247xx,WV,7 years,0.0,-1.0,1
20000.0,,major_purchase,,840xx,UT,10+ years,0.0,-1.0,1
18000.0,,major_purchase,525.0,784xx,TX,< 1 year,0.0,95.08,1
14000.0,,home_improvement,749.0,117xx,NY,< 1 year,0.0,18.95,1
20000.0,,Lending ,669.0,923xx,CA,5 years,0.0,15.55,1
15000.0,,debt_consolidation,643.0,752xx,TX,< 1 year,0.0,14.13,1
6000.0,,car,,221xx,VA,10+ years,0.0,-1.0,1
3000.0,,home_improvement,512.0,165xx,PA,< 1 year,0.0,30.19,1
15000.0,,credit_card,713.0,029xx,RI,< 1 year,0.0,26.82,1
5000.0,,other,681.0,294xx,SC,< 1 year,0.0,27.0,1
31000.0,,small_business,0.0,365xx,AL,< 1 year,0.0,0.0,1
35000.0,,credit_card,598.0,080xx,NJ,< 1 year,0.0,41.34,1
8000.0,,car,716.0,144xx,NY,2 years,0.0,17.71,1
6000.0,,debt_consolidation,501.0,410xx,KY,< 1 year,0.0,36.1,1
35000.0,,small_business,650.0,804xx,CO,< 1 year,0.0,35.53,1
